"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
4,"BAL","PIT","Chris Matthews",0.90,"PIT",1,2.20,,,,0,1.27,0.50,1,0,0.00,4.00,4.50,0.50,194.50,0.50,74.00,1.00
6,"BAL","CHI","Chris Matthews",1.33,"CHI",1,1.50,,,,0,1.17,1.00,2,0,0.00,6.67,2.25,0.00,234.75,1.75,84.50,1.00
6,"BAL","CHI","Chris Moore",0.00,"CHI",1,7.40,,,,0,0.00,0.50,1,0,0.00,0.00,2.25,0.00,234.75,1.75,84.50,1.00
7,"MIN","BAL","Chris Moore",2.47,"MIN",0,11.10,,,,0,4.27,2.67,7,0,0.00,14.67,2.20,0.80,247.40,1.40,80.00,0.20
8,"BAL","MIA","Chris Moore",4.63,"MIA",1,0.00,4.7,2.3,6.5,0,5.55,4.00,8,0,0.25,20.00,2.40,0.20,247.40,1.20,80.40,0.60
9,"TEN","BAL","Chris Moore",3.70,"TEN",0,2.60,4.6,2.1,10.3,0,5.23,3.20,8,0,0.20,16.00,1.43,1.00,240.00,1.86,100.14,0.43
11,"GB","BAL","Chris Moore",3.52,"GB",0,0.00,3.6,1.9,4.8,0,4.70,3.33,8,0,0.17,16.00,1.63,0.75,252.75,1.38,118.00,1.00
12,"BAL","HOU","Chris Moore",3.01,"HOU",1,6.70,,,,0,4.49,2.86,8,0,0.14,13.71,2.56,0.89,269.89,2.11,96.89,0.33
4,"HOU","TEN","Chris Thompson",,"TEN",1,0.00,,,,0,,,,,,,2.00,1.00,242.50,1.50,104.00,0.50
5,"HOU","KC","Chris Thompson",0.00,"KC",1,2.90,,,,0,,0.00,0,0,0.00,0.00,3.67,1.33,279.00,0.67,111.67,1.33
6,"HOU","CLE","Chris Thompson",1.45,"CLE",1,0.00,,,,0,2.05,0.50,1,0,0.00,9.50,2.25,0.50,256.25,2.25,87.25,1.00
8,"SEA","HOU","Chris Thompson",0.97,"SEA",0,0.00,,,,0,1.67,0.33,1,0,0.00,6.33,2.20,1.00,216.00,0.80,127.20,0.80
9,"HOU","IND","Chris Thompson",0.73,"IND",1,0.00,,,,0,1.45,0.25,1,0,0.00,4.75,1.86,1.00,310.86,1.43,124.57,1.43
10,"LA","HOU","Chris Thompson",0.58,"LA",0,0.00,,,,0,1.30,0.20,1,0,0.00,3.80,3.29,1.29,223.57,1.14,123.14,1.14
11,"HOU","ARI","Chris Thompson",0.48,"ARI",1,0.00,,,,0,1.18,0.17,1,0,0.00,3.17,2.13,1.00,263.63,1.75,100.25,0.88
12,"BAL","HOU","Chris Thompson",0.41,"BAL",0,0.00,,,,0,1.10,0.14,1,0,0.00,2.71,2.44,1.44,200.56,1.22,125.89,0.67
5,"CIN","BUF","Cody Core",0.00,"BUF",1,0.00,,,,0,,2.00,2,2,0.00,0.00,3.33,1.33,224.67,0.00,75.33,0.67
7,"PIT","CIN","Cody Core",0.00,"PIT",0,0.00,,,,0,0.00,1.00,2,0,0.00,0.00,3.40,1.00,164.00,0.60,136.20,1.20
10,"TEN","CIN","Cody Core",0.00,"TEN",0,0.00,,,,0,0.00,1.33,2,0,0.00,0.00,1.43,1.00,240.00,1.86,100.14,0.43
12,"CIN","CLE","Cody Core",0.00,"CLE",1,0.00,,,,0,0.00,1.00,2,0,0.00,0.00,2.22,0.67,242.67,2.11,86.44,0.67
8,"KC","DEN","Cody Latimer",1.40,"KC",0,3.50,,,,0,2.42,1.00,2,0,0.00,7.33,2.50,0.83,261.67,1.67,130.67,0.83
9,"PHI","DEN","Cody Latimer",1.93,"PHI",0,7.10,,,,0,2.24,1.50,3,0,0.00,9.25,2.57,1.00,291.00,1.71,67.00,0.57
10,"DEN","NE","Cody Latimer",2.96,"NE",1,5.80,,,,0,3.02,1.80,3,0,0.00,17.60,1.88,0.75,309.25,2.00,121.50,0.63
11,"DEN","CIN","Cody Latimer",3.43,"CIN",1,3.10,3.1,1.8,4.3,0,2.94,2.33,5,0,0.00,19.33,2.75,0.63,208.50,1.25,116.38,0.38
12,"OAK","DEN","Cody Latimer",3.39,"OAK",0,13.80,3.8,2.0,6.4,0,2.69,2.43,5,0,0.00,19.57,1.44,0.00,252.67,1.56,116.56,0.67
4,"DAL","LA","Cole Beasley",4.97,"LA",1,4.70,9.5,9.2,12.4,0,3.14,4.67,8,1,0.00,23.00,3.00,1.00,179.00,0.50,152.00,1.50
5,"DAL","GB","Cole Beasley",4.90,"GB",1,18.30,9.0,8.5,13.1,0,2.57,5.00,8,1,0.00,21.50,3.00,0.00,207.33,1.00,113.67,0.67
7,"SF","DAL","Cole Beasley",7.58,"SF",0,3.40,9.8,9.8,12.7,0,6.39,5.20,8,1,0.40,21.80,2.60,0.60,264.40,1.40,116.60,0.80
8,"WAS","DAL","Cole Beasley",6.88,"WAS",0,2.80,8.0,7.2,12.7,0,5.97,4.67,8,1,0.33,22.17,3.00,1.00,249.80,1.20,87.00,0.80
9,"DAL","KC","Cole Beasley",6.30,"KC",1,18.40,6.5,5.4,10.8,0,5.66,4.43,8,1,0.29,20.14,2.14,0.71,283.86,1.86,124.57,0.86
10,"ATL","DAL","Cole Beasley",7.81,"ATL",0,4.30,7.4,6.3,10.4,0,6.76,4.63,8,1,0.50,20.63,2.43,0.29,237.00,1.57,102.14,0.29
11,"DAL","PHI","Cole Beasley",7.42,"PHI",1,2.70,7.7,6.3,10.7,0,6.44,4.44,8,1,0.44,20.89,2.78,1.22,268.00,1.56,66.44,0.44
12,"DAL","LAC","Cole Beasley",6.95,"LAC",1,3.90,6.8,6.1,10.7,0,6.25,4.40,8,1,0.40,19.50,3.22,0.78,225.56,1.22,134.89,0.67
4,"DAL","LA","Cooper Kupp",9.20,"DAL",0,17.00,8.9,8.7,12.7,0,7.39,4.67,6,2,0.33,42.00,2.50,1.00,225.50,2.00,106.00,0.50
5,"LA","SEA","Cooper Kupp",11.15,"SEA",1,7.40,9.4,9.1,12.8,0,7.18,5.25,7,2,0.50,46.50,2.00,0.67,211.67,1.00,146.00,0.67
6,"JAC","LA","Cooper Kupp",10.40,"JAC",0,5.50,9.3,8.6,12.9,0,6.44,5.80,8,2,0.40,46.00,4.50,1.25,174.50,0.75,165.50,1.25
7,"LA","ARI","Cooper Kupp",9.58,"ARI",1,15.10,9.5,8.9,14.2,0,6.10,5.33,8,2,0.33,44.17,2.00,0.80,245.80,2.00,94.80,0.60
9,"NYG","LA","Cooper Kupp",10.37,"NYG",0,8.40,9.4,8.9,9.9,0,5.95,6.00,10,2,0.43,45.14,1.86,0.43,269.14,2.00,120.71,0.29
10,"LA","HOU","Cooper Kupp",10.13,"HOU",1,10.70,10.4,10.1,13.9,0,5.55,5.88,10,2,0.38,46.25,2.43,1.14,251.43,2.00,96.57,0.43
11,"MIN","LA","Cooper Kupp",10.19,"MIN",0,11.40,9.9,8.4,13.8,0,5.19,6.00,10,2,0.33,46.33,2.88,0.88,222.13,1.13,81.38,0.38
12,"LA","NO","Cooper Kupp",10.31,"NO",1,22.60,11.4,11.1,14.8,1,4.91,6.10,10,2,0.30,48.10,2.78,1.11,219.11,1.22,110.89,0.56
4,"DEN","OAK","Cordarrelle Patterson",5.73,"DEN",0,9.50,,,,0,6.56,1.33,2,1,0.00,5.00,1.50,1.50,215.00,2.50,52.00,0.00
5,"OAK","BAL","Cordarrelle Patterson",6.68,"BAL",1,0.00,4.4,3.5,5.3,0,5.68,2.50,6,1,0.00,12.00,2.67,2.67,238.00,1.67,112.00,0.33
6,"OAK","LAC","Cordarrelle Patterson",5.34,"LAC",1,13.00,4.0,2.9,5.5,0,5.75,2.20,6,1,0.00,9.60,3.00,0.25,211.50,1.50,163.50,0.75
7,"OAK","KC","Cordarrelle Patterson",6.62,"KC",1,1.90,4.0,2.6,5.3,0,6.02,2.00,6,1,0.00,8.83,2.80,0.80,263.60,1.80,118.00,0.80
8,"BUF","OAK","Cordarrelle Patterson",5.94,"BUF",0,3.70,4.0,2.5,5.0,0,5.78,2.14,6,1,0.00,8.86,2.40,1.60,248.80,0.40,88.00,0.80
9,"MIA","OAK","Cordarrelle Patterson",5.66,"MIA",0,0.00,4.1,2.8,5.2,0,5.41,2.38,6,1,0.00,8.63,2.50,0.33,241.00,1.50,82.33,0.67
11,"OAK","NE","Cordarrelle Patterson",5.03,"NE",1,8.50,4.0,2.9,5.0,0,5.40,2.11,6,0,0.00,7.67,1.88,0.75,309.25,2.00,121.50,0.63
12,"OAK","DEN","Cordarrelle Patterson",5.38,"DEN",1,10.20,3.3,2.0,4.5,0,5.21,2.30,6,0,0.00,11.40,2.22,0.56,215.78,2.11,89.56,0.44
11,"CLE","JAC","Corey Coleman",9.10,"JAC",1,14.00,7.6,6.1,10.8,0,10.18,6.50,7,6,0.50,31.00,4.38,1.25,183.75,0.50,124.88,0.75
12,"CIN","CLE","Corey Coleman",10.73,"CIN",0,9.40,10.3,8.6,13.6,0,7.74,8.00,11,6,0.33,47.33,2.89,0.67,214.67,1.22,123.44,0.56
9,"TEN","BAL","Corey Davis",7.15,"BAL",1,4.80,8.5,8.1,9.8,0,8.13,6.50,10,3,0.00,36.50,2.29,1.43,201.57,1.29,145.29,0.71
10,"TEN","CIN","Corey Davis",6.37,"CIN",1,7.80,9.0,7.9,12.4,0,5.91,6.00,10,3,0.00,33.67,3.14,0.71,201.29,1.29,111.86,0.43
11,"PIT","TEN","Corey Davis",6.73,"PIT",0,5.70,9.7,7.6,13.5,0,4.88,7.00,10,3,0.00,37.25,3.25,0.88,203.63,0.75,106.38,0.75
12,"IND","TEN","Corey Davis",6.52,"IND",0,7.90,9.9,8.9,13.6,0,4.25,7.00,10,3,0.00,35.20,1.90,0.80,287.40,1.50,111.20,1.00
5,"DET","CAR","Curtis Samuel",4.15,"DET",0,0.00,4.2,2.7,7.2,0,2.05,4.00,5,3,0.00,6.00,2.67,2.33,267.33,1.33,86.00,0.67
6,"CAR","PHI","Curtis Samuel",2.77,"PHI",1,0.80,3.9,3.2,6.9,0,2.80,3.33,5,2,0.00,4.00,2.50,0.75,301.00,1.75,70.75,0.75
7,"CHI","CAR","Curtis Samuel",2.28,"CHI",0,3.00,3.4,2.6,4.3,0,2.49,2.50,5,0,0.00,3.00,2.60,0.00,223.00,1.60,99.40,1.00
8,"TB","CAR","Curtis Samuel",2.42,"TB",0,4.60,3.5,2.9,4.7,0,2.18,2.20,5,0,0.00,6.40,1.20,0.80,308.80,2.00,101.80,0.80
9,"CAR","ATL","Curtis Samuel",2.78,"ATL",1,6.70,4.7,4.3,5.4,0,2.14,2.33,5,0,0.00,7.83,2.33,0.33,233.67,1.50,112.00,0.33
10,"CAR","MIA","Curtis Samuel",3.34,"MIA",1,9.50,7.6,7.2,8.8,0,2.45,2.71,5,0,0.00,10.00,2.14,0.29,223.86,1.57,95.43,0.57
4,"NE","CAR","Damiere Byrd",0.00,"NE",0,1.20,,,,0,0.00,1.00,1,1,0.00,0.00,2.00,0.00,362.00,3.00,133.00,1.00
4,"NE","CAR","Danny Amendola",13.40,"CAR",1,16.20,9.0,8.2,13.3,0,7.92,6.00,7,5,0.00,74.00,3.50,0.50,159.00,0.00,60.00,0.00
5,"TB","NE","Danny Amendola",14.33,"TB",0,15.70,9.7,9.1,14.3,0,5.83,6.33,7,5,0.33,63.33,0.50,1.00,335.00,2.00,72.50,0.50
6,"NYJ","NE","Danny Amendola",14.68,"NYJ",0,7.00,10.9,10.5,14.7,0,4.81,6.75,8,5,0.25,66.75,1.50,1.00,203.50,1.75,143.75,1.00
7,"NE","ATL","Danny Amendola",13.14,"ATL",1,4.70,10.6,10.0,15.1,0,5.40,6.40,8,5,0.20,61.40,3.00,0.25,250.50,1.25,93.00,0.50
8,"NE","LAC","Danny Amendola",11.73,"LAC",1,3.40,10.1,9.8,12.6,0,5.93,6.00,8,4,0.17,54.00,3.00,0.67,207.00,1.50,152.50,0.83
10,"DEN","NE","Danny Amendola",10.54,"DEN",0,7.60,9.6,8.5,14.1,0,6.26,6.00,8,4,0.14,48.29,2.43,0.71,200.71,1.71,72.86,0.00
11,"OAK","NE","Danny Amendola",10.18,"OAK",0,20.60,9.4,8.6,13.6,1,5.89,5.75,8,4,0.13,46.75,1.44,0.00,252.67,1.56,116.56,0.67
12,"NE","MIA","Danny Amendola",11.33,"MIA",1,2.50,9.5,9.7,10.8,0,6.51,6.11,9,4,0.22,48.89,1.78,0.33,235.67,1.78,116.22,0.89
4,"BAL","PIT","Darrius Heyward-Bey",0.00,"BAL",0,0.30,,,,0,,0.00,0,0,0.00,0.00,4.00,4.00,235.00,0.50,85.00,0.00
7,"PIT","CIN","Darrius Heyward-Bey",0.15,"CIN",1,5.40,,,,0,0.21,0.00,0,0,0.00,0.00,3.60,0.80,181.60,1.00,103.20,0.60
8,"DET","PIT","Darrius Heyward-Bey",1.90,"DET",0,0.00,,,,0,3.03,0.33,1,0,0.00,14.67,2.00,1.50,260.33,1.50,94.33,0.83
4,"GB","CHI","Davante Adams",13.53,"CHI",1,9.30,12.6,11.5,17.3,0,9.00,7.67,10,6,0.33,68.67,2.00,0.00,262.50,1.00,90.50,1.00
5,"DAL","GB","Davante Adams",12.48,"DAL",0,25.60,10.8,8.0,16.8,1,7.65,7.00,10,5,0.50,54.75,3.67,0.67,258.67,2.00,87.00,0.33
6,"MIN","GB","Davante Adams",15.10,"MIN",0,16.40,12.6,11.9,16.7,0,8.85,7.80,11,5,0.80,57.00,2.50,0.75,267.75,1.25,71.25,0.25
7,"GB","NO","Davante Adams",15.32,"NO",1,3.20,11.1,10.4,15.1,0,7.93,8.17,11,5,0.83,56.50,2.75,1.00,284.75,1.50,109.50,0.50
9,"GB","DET","Davante Adams",13.59,"DET",1,12.30,10.3,9.4,11.0,0,8.57,7.71,11,5,0.71,50.14,2.00,1.50,260.33,1.50,94.33,0.83
10,"CHI","GB","Davante Adams",13.43,"CHI",0,20.00,10.1,8.7,13.2,1,7.95,8.00,11,5,0.63,50.50,2.88,0.50,225.63,1.00,103.88,0.88
11,"GB","BAL","Davante Adams",14.16,"BAL",1,23.60,11.0,10.1,14.7,1,7.75,8.00,11,5,0.67,54.89,2.44,1.44,200.56,1.22,125.89,0.67
12,"PIT","GB","Davante Adams",15.10,"PIT",0,19.20,11.5,10.4,15.1,0,7.89,8.20,11,5,0.60,62.00,3.22,0.89,205.67,0.89,102.44,0.67
4,"KC","WAS","De'Anthony Thomas",1.20,"WAS",1,0.00,,,,0,1.20,0.67,1,0,0.00,4.00,2.00,1.00,279.50,1.50,75.00,0.50
5,"HOU","KC","De'Anthony Thomas",0.90,"HOU",0,8.00,,,,0,1.15,0.50,1,0,0.00,3.00,2.67,0.00,242.33,2.00,98.67,0.33
6,"KC","PIT","De'Anthony Thomas",2.32,"PIT",1,15.10,,,,0,3.33,0.60,1,0,0.20,4.40,3.75,1.00,181.25,0.75,112.50,1.00
7,"OAK","KC","De'Anthony Thomas",4.45,"OAK",0,1.20,3.9,3.1,5.7,0,6.01,1.17,4,0,0.33,13.83,2.00,0.00,237.60,1.20,124.60,0.60
8,"KC","DEN","De'Anthony Thomas",3.99,"DEN",1,0.00,3.2,3.0,4.2,0,5.62,1.14,4,0,0.29,12.14,2.60,0.80,204.00,1.80,70.20,0.00
9,"DAL","KC","De'Anthony Thomas",3.49,"DAL",0,7.10,3.4,3.0,4.5,0,5.39,1.00,4,0,0.25,10.63,3.50,0.33,247.83,1.83,115.33,0.50
11,"NYG","KC","De'Anthony Thomas",3.89,"NYG",0,3.10,3.9,3.4,5.0,0,5.18,1.22,4,0,0.22,14.00,1.63,0.38,274.38,2.25,125.88,0.50
4,"HOU","TEN","DeAndre Hopkins",15.80,"TEN",1,29.70,15.2,13.8,19.9,1,2.34,12.33,16,8,0.33,68.00,2.00,1.00,242.50,1.50,104.00,0.50
5,"HOU","KC","DeAndre Hopkins",19.28,"KC",1,27.20,16.0,15.5,21.6,1,7.21,12.25,16,8,0.50,77.75,3.67,1.33,279.00,0.67,111.67,1.33
6,"HOU","CLE","DeAndre Hopkins",20.86,"CLE",1,9.90,18.0,17.3,22.4,0,7.18,12.20,16,8,1.00,72.60,2.25,0.50,256.25,2.25,87.25,1.00
8,"SEA","HOU","DeAndre Hopkins",19.03,"SEA",0,39.40,15.3,13.6,20.8,1,7.83,10.83,16,4,1.00,63.67,2.20,1.00,216.00,0.80,127.20,0.80
9,"HOU","IND","DeAndre Hopkins",21.94,"IND",1,20.60,15.7,14.6,20.7,1,10.50,10.86,16,4,1.00,86.57,1.86,1.00,310.86,1.43,124.57,1.43
10,"LA","HOU","DeAndre Hopkins",21.78,"LA",0,21.10,14.8,12.5,21.1,1,9.73,11.50,16,4,1.00,86.50,3.29,1.29,223.57,1.14,123.14,1.14
11,"HOU","ARI","DeAndre Hopkins",21.70,"ARI",1,17.60,15.4,12.9,20.6,0,9.11,11.78,16,4,0.89,89.22,2.13,1.00,263.63,1.75,100.25,0.88
12,"BAL","HOU","DeAndre Hopkins",21.29,"BAL",0,22.50,14.5,13.8,19.5,1,8.69,11.50,16,4,0.90,87.90,2.44,1.44,200.56,1.22,125.89,0.67
11,"CLE","JAC","Dede Westbrook",,"CLE",0,6.50,4.9,3.1,6.4,0,,,,,,,2.00,0.63,241.88,2.00,84.25,0.63
12,"ARI","JAC","Dede Westbrook",6.50,"ARI",0,10.10,6.7,6.0,8.4,0,,6.00,6,6,0.00,35.00,2.44,0.89,260.78,1.78,97.44,0.78
5,"HOU","KC","Demarcus Robinson",2.90,"HOU",0,2.60,,,,0,,2.00,2,2,0.00,9.00,2.67,0.00,242.33,2.00,98.67,0.33
6,"KC","PIT","Demarcus Robinson",2.75,"PIT",1,2.60,,,,0,0.21,1.50,2,1,0.00,12.50,3.75,1.00,181.25,0.75,112.50,1.00
7,"OAK","KC","Demarcus Robinson",2.70,"OAK",0,11.90,3.6,1.7,5.8,0,0.17,2.67,5,1,0.00,13.67,2.00,0.00,237.60,1.20,124.60,0.60
8,"KC","DEN","Demarcus Robinson",5.00,"DEN",1,1.50,5.3,4.4,6.1,0,4.60,4.00,8,1,0.00,27.50,2.60,0.80,204.00,1.80,70.20,0.00
9,"DAL","KC","Demarcus Robinson",4.30,"DAL",0,3.80,6.9,6.0,9.6,0,4.28,3.40,8,1,0.00,23.00,3.50,0.33,247.83,1.83,115.33,0.50
11,"NYG","KC","Demarcus Robinson",4.22,"NYG",0,1.70,5.3,4.9,7.9,0,3.84,3.17,8,1,0.00,22.17,1.63,0.38,274.38,2.25,125.88,0.50
12,"KC","BUF","Demarcus Robinson",3.86,"BUF",1,4.40,5.0,4.2,7.5,0,3.63,3.14,8,1,0.00,20.00,1.56,1.22,251.67,0.78,117.22,1.56
4,"DEN","OAK","Demaryius Thomas",13.53,"OAK",1,2.10,14.9,14.6,20.4,0,2.08,8.33,9,8,0.00,78.67,2.50,0.00,211.00,1.00,110.50,0.50
6,"DEN","NYG","Demaryius Thomas",10.68,"NYG",1,25.30,13.0,12.4,17.4,1,5.96,7.50,9,5,0.00,61.75,2.00,0.00,224.50,1.75,142.75,0.50
7,"LAC","DEN","Demaryius Thomas",13.60,"LAC",0,2.90,14.9,14.8,18.9,0,8.33,8.80,14,5,0.00,76.00,3.40,0.40,214.20,1.60,161.20,0.80
8,"KC","DEN","Demaryius Thomas",11.82,"KC",0,11.60,13.7,13.0,19.9,0,8.64,8.33,14,5,0.00,64.83,2.50,0.83,261.67,1.67,130.67,0.83
9,"PHI","DEN","Demaryius Thomas",11.79,"PHI",0,21.00,13.0,12.4,19.9,1,7.89,8.43,14,5,0.00,65.00,2.57,1.00,291.00,1.71,67.00,0.57
10,"DEN","NE","Demaryius Thomas",12.94,"NE",1,15.40,13.5,12.5,19.1,0,8.00,8.88,14,5,0.13,65.63,1.88,0.75,309.25,2.00,121.50,0.63
11,"DEN","CIN","Demaryius Thomas",13.21,"CIN",1,17.40,12.7,11.8,17.9,0,7.52,8.78,14,5,0.22,63.22,2.75,0.63,208.50,1.25,116.38,0.38
12,"OAK","DEN","Demaryius Thomas",13.63,"OAK",0,6.80,13.5,13.3,18.9,0,7.22,8.80,14,5,0.30,63.30,1.44,0.00,252.67,1.56,116.56,0.67
4,"GB","CHI","Deonte Thompson",6.70,"GB",0,9.40,5.5,5.0,7.1,0,7.80,3.00,5,2,0.33,27.00,3.00,0.00,205.00,0.50,115.50,1.00
5,"CHI","MIN","Deonte Thompson",7.38,"MIN",1,0.00,5.8,5.2,7.3,0,6.51,4.50,9,2,0.25,31.25,1.67,1.00,287.33,1.67,62.67,0.00
7,"BUF","TB","Deonte Thompson",5.90,"TB",1,17.70,,,,0,6.53,3.60,9,0,0.20,25.00,1.00,0.75,315.25,1.75,87.25,0.50
8,"BUF","OAK","Deonte Thompson",7.87,"OAK",1,1.50,6.1,5.5,6.5,0,7.57,3.67,9,0,0.17,38.67,1.83,0.00,242.67,1.17,117.17,0.67
9,"NYJ","BUF","Deonte Thompson",6.96,"NYJ",0,21.10,3.9,2.2,5.6,1,7.32,3.29,9,0,0.14,33.86,1.43,1.29,239.71,2.14,126.57,0.71
10,"BUF","NO","Deonte Thompson",8.73,"NO",1,1.50,6.1,4.6,7.4,0,8.42,4.13,10,0,0.25,39.75,2.71,1.29,243.14,1.29,120.29,0.71
11,"LAC","BUF","Deonte Thompson",7.92,"LAC",0,6.60,5.6,4.7,7.3,0,8.24,4.11,10,0,0.22,36.44,3.25,0.63,219.63,1.25,134.88,0.63
12,"KC","BUF","Deonte Thompson",7.79,"KC",0,1.60,5.8,4.7,6.7,0,7.78,4.50,10,0,0.20,36.40,2.11,0.89,270.44,1.78,131.11,1.00
4,"TB","NYG","DeSean Jackson",12.65,"NYG",1,4.00,10.4,9.0,14.9,0,8.13,7.00,7,7,0.50,61.50,2.00,0.00,195.00,1.50,133.50,0.00
5,"TB","NE","DeSean Jackson",9.77,"NE",1,18.60,11.0,9.6,17.0,1,7.62,6.67,7,6,0.33,47.67,2.00,0.67,341.67,2.67,130.33,0.67
6,"ARI","TB","DeSean Jackson",11.98,"ARI",0,12.80,11.3,10.3,16.0,0,7.63,7.25,9,6,0.25,62.25,2.25,0.75,231.25,1.50,88.00,0.75
7,"BUF","TB","DeSean Jackson",12.14,"BUF",0,12.30,10.8,9.7,15.5,0,6.62,7.00,9,6,0.40,57.40,2.40,1.60,248.80,0.40,88.00,0.80
8,"TB","CAR","DeSean Jackson",12.17,"CAR",1,6.70,11.0,9.9,15.2,0,5.92,7.17,9,6,0.33,60.00,3.33,0.17,216.00,1.67,83.33,0.50
9,"NO","TB","DeSean Jackson",11.39,"NO",0,5.30,10.8,10.3,15.1,0,5.78,7.29,9,6,0.29,56.71,2.83,1.33,256.33,1.50,114.17,0.67
10,"TB","NYJ","DeSean Jackson",10.63,"NYJ",1,14.20,11.7,10.5,15.8,0,5.77,6.88,9,4,0.25,52.75,1.38,1.13,241.50,2.13,128.25,0.63
11,"MIA","TB","DeSean Jackson",11.02,"MIA",0,10.80,10.8,9.7,14.4,0,5.53,7.22,10,4,0.22,56.00,2.00,0.38,233.38,1.50,94.00,0.75
12,"ATL","TB","DeSean Jackson",11.00,"ATL",0,14.00,10.6,9.6,14.9,0,5.21,6.80,10,3,0.30,53.20,2.89,0.22,219.11,1.22,113.67,0.56
4,"MIA","NO","DeVante Parker",17.05,"NO",1,12.90,14.1,12.0,18.1,0,6.43,9.50,10,9,0.50,80.50,1.50,0.00,395.50,3.00,124.00,0.50
5,"MIA","TEN","DeVante Parker",15.67,"TEN",1,1.60,13.6,13.7,17.3,0,5.14,9.00,10,8,0.33,76.67,1.67,0.67,286.00,2.33,92.33,0.33
9,"MIA","OAK","DeVante Parker",12.15,"OAK",1,12.60,12.3,11.7,12.6,0,8.19,7.00,10,1,0.25,59.00,1.71,0.00,256.86,1.43,113.86,0.57
10,"CAR","MIA","DeVante Parker",12.24,"CAR",0,12.60,11.5,11.1,15.5,0,7.10,7.20,10,1,0.20,62.40,3.38,0.38,201.63,1.25,81.63,0.38
11,"MIA","TB","DeVante Parker",12.30,"TB",1,6.60,13.0,12.2,17.3,0,6.35,7.50,10,1,0.17,63.00,1.00,0.63,278.63,1.75,116.63,1.00
12,"NE","MIA","DeVante Parker",11.49,"NE",0,1.50,11.8,11.5,15.7,0,6.18,7.71,10,1,0.14,57.71,1.67,0.78,299.44,1.89,121.11,0.56
4,"NE","CAR","Devin Funchess",8.20,"NE",0,26.00,9.6,9.4,12.7,1,3.67,6.33,10,2,0.00,48.67,2.00,0.00,362.00,3.00,133.00,1.00
5,"DET","CAR","Devin Funchess",12.65,"DET",0,18.30,11.0,11.1,12.7,0,9.39,7.00,10,2,0.50,54.00,2.67,2.33,267.33,1.33,86.00,0.67
6,"CAR","PHI","Devin Funchess",13.78,"PHI",1,6.60,12.1,11.0,16.3,0,8.52,7.20,10,2,0.60,53.80,2.50,0.75,301.00,1.75,70.75,0.75
7,"CHI","CAR","Devin Funchess",12.58,"CHI",0,8.10,11.4,10.7,14.7,0,8.16,7.50,10,2,0.50,50.83,2.60,0.00,223.00,1.60,99.40,1.00
8,"TB","CAR","Devin Funchess",11.94,"TB",0,3.10,12.2,11.5,16.1,0,7.64,7.57,10,2,0.43,49.43,1.20,0.80,308.80,2.00,101.80,0.80
9,"CAR","ATL","Devin Funchess",10.84,"ATL",1,13.60,12.0,11.0,15.8,0,7.73,7.38,10,2,0.38,44.63,2.33,0.33,233.67,1.50,112.00,0.33
10,"CAR","MIA","Devin Funchess",11.14,"MIA",1,26.20,12.3,11.8,14.2,1,7.29,7.33,10,2,0.33,49.22,2.14,0.29,223.86,1.57,95.43,0.57
12,"NYJ","CAR","Devin Funchess",12.65,"NYJ",0,20.80,12.5,11.7,15.4,1,8.36,7.20,10,2,0.50,53.50,1.90,1.00,240.40,2.00,117.90,0.60
4,"DAL","LA","Dez Bryant",11.47,"LA",1,14.80,14.4,14.1,18.5,0,6.60,9.00,16,2,0.67,38.00,3.00,1.00,179.00,0.50,152.00,1.50
5,"DAL","GB","Dez Bryant",12.30,"GB",1,16.20,15.3,14.8,20.5,0,5.64,10.00,16,2,0.50,53.00,3.00,0.00,207.33,1.00,113.67,0.67
7,"SF","DAL","Dez Bryant",13.08,"SF",0,19.30,14.6,14.3,18.8,0,5.19,9.60,16,2,0.60,52.80,2.60,0.60,264.40,1.40,116.60,0.80
8,"WAS","DAL","Dez Bryant",14.12,"WAS",0,7.90,14.9,14.3,20.3,0,5.29,9.67,16,2,0.67,54.50,3.00,1.00,249.80,1.20,87.00,0.80
9,"DAL","KC","Dez Bryant",13.23,"KC",1,13.30,14.6,14.0,19.2,0,5.37,9.14,16,2,0.57,52.29,2.14,0.71,283.86,1.86,124.57,0.86
10,"ATL","DAL","Dez Bryant",13.24,"ATL",0,7.90,14.6,13.6,20.0,0,4.97,9.38,16,2,0.50,54.88,2.43,0.29,237.00,1.57,102.14,0.29
11,"DAL","PHI","Dez Bryant",12.64,"PHI",1,14.30,14.6,13.5,21.3,0,4.98,9.22,16,2,0.44,53.11,2.78,1.22,268.00,1.56,66.44,0.44
12,"DAL","LAC","Dez Bryant",12.81,"LAC",1,6.70,13.6,12.5,17.1,0,4.72,9.70,16,2,0.40,54.10,3.22,0.78,225.56,1.22,134.89,0.67
4,"SEA","IND","Donte Moncrief",5.40,"SEA",0,12.00,8.5,7.8,12.5,0,1.40,5.00,8,3,0.00,37.33,3.00,1.00,205.00,0.50,121.50,0.50
5,"IND","SF","Donte Moncrief",7.05,"SF",1,6.20,9.6,8.9,12.5,0,3.49,4.50,8,3,0.25,35.50,1.00,0.33,220.33,2.00,124.33,0.67
