"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
10,"TB","NYJ","ArDarius Stewart",1.34,"TB",0,1.40,4.0,2.7,7.1,0,1.45,1.14,5,0,0.00,5.14,1.00,0.71,280.86,1.71,111.71,1.00
4,"NYJ","JAC","Arrelious Benn",2.20,"NYJ",0,0.00,,,,0,,1.00,1,1,0.00,12.00,1.00,0.50,227.00,2.50,185.00,2.00
6,"JAC","LA","Arrelious Benn",1.10,"LA",1,0.00,,,,0,1.56,0.50,1,0,0.00,6.00,3.00,1.00,235.50,1.50,151.50,1.75
7,"IND","JAC","Arrelious Benn",0.73,"IND",0,0.00,,,,0,1.27,0.33,1,0,0.00,4.00,2.20,1.20,308.00,1.60,103.20,1.20
9,"JAC","CIN","Arrelious Benn",0.55,"CIN",1,0.00,,,,0,1.10,0.50,1,0,0.00,3.00,3.00,0.67,196.00,1.17,111.33,0.50
4,"DEN","OAK","Bennie Fowler",9.47,"OAK",1,5.50,7.0,6.3,10.5,0,7.65,4.67,7,3,0.67,28.00,2.50,0.00,211.00,1.00,110.50,0.50
6,"DEN","NYG","Bennie Fowler",8.48,"NYG",1,5.10,6.3,4.8,9.7,0,6.55,4.00,7,2,0.50,29.75,2.00,0.00,224.50,1.75,142.75,0.50
7,"LAC","DEN","Bennie Fowler",7.80,"LAC",0,9.50,7.7,6.1,11.3,0,5.87,4.80,8,2,0.40,28.00,3.40,0.40,214.20,1.60,161.20,0.80
8,"KC","DEN","Bennie Fowler",8.08,"KC",0,5.50,7.7,6.3,12.5,0,5.30,4.83,8,2,0.33,30.83,2.50,0.83,261.67,1.67,130.67,0.83
9,"PHI","DEN","Bennie Fowler",7.71,"PHI",0,0.00,6.5,5.1,12.1,0,4.93,5.00,8,2,0.29,31.43,2.57,1.00,291.00,1.71,67.00,0.57
10,"DEN","NE","Bennie Fowler",6.75,"NE",1,0.00,5.3,4.9,7.8,0,5.32,4.63,8,2,0.25,27.50,1.88,0.75,309.25,2.00,121.50,0.63
11,"DEN","CIN","Bennie Fowler",6.00,"CIN",1,2.80,4.3,3.7,6.3,0,5.46,4.22,8,1,0.22,24.44,2.75,0.63,208.50,1.25,116.38,0.38
12,"OAK","DEN","Bennie Fowler",5.68,"OAK",0,12.30,3.9,3.2,5.5,0,5.25,3.90,8,1,0.20,23.80,1.44,0.00,252.67,1.56,116.56,0.67
4,"TB","NYG","Bernard Reedy",0.95,"NYG",1,0.00,,,,0,1.34,0.50,1,0,0.00,3.00,2.00,0.00,195.00,1.50,133.50,0.00
5,"TB","NE","Bernard Reedy",0.63,"NE",1,0.00,,,,0,1.10,0.33,1,0,0.00,2.00,2.00,0.67,341.67,2.67,130.33,0.67
6,"ARI","TB","Bernard Reedy",0.48,"ARI",0,0.40,,,,0,0.95,0.25,1,0,0.00,1.50,2.25,0.75,231.25,1.50,88.00,0.75
7,"BUF","TB","Bernard Reedy",0.46,"BUF",0,1.00,,,,0,0.82,0.20,1,0,0.00,1.20,2.40,1.60,248.80,0.40,88.00,0.80
8,"TB","CAR","Bernard Reedy",0.55,"CAR",1,0.00,,,,0,0.77,0.17,1,0,0.00,1.00,3.33,0.17,216.00,1.67,83.33,0.50
9,"NO","TB","Bernard Reedy",0.47,"NO",0,2.50,,,,0,0.73,0.14,1,0,0.00,0.86,2.83,1.33,256.33,1.50,114.17,0.67
10,"TB","NYJ","Bernard Reedy",0.73,"NYJ",1,0.00,,,,0,0.99,0.25,1,0,0.00,2.63,1.38,1.13,241.50,2.13,128.25,0.63
4,"NE","CAR","Brandin Cooks",17.73,"CAR",1,7.20,14.1,13.4,18.4,0,15.29,6.00,7,4,0.67,85.33,3.50,0.50,159.00,0.00,60.00,0.00
5,"TB","NE","Brandin Cooks",15.10,"TB",0,13.50,14.4,14.2,19.1,0,13.55,6.00,7,4,0.50,73.50,0.50,1.00,335.00,2.00,72.50,0.50
6,"NYJ","NE","Brandin Cooks",14.78,"NYJ",0,15.30,13.4,13.0,16.9,0,11.76,6.40,8,4,0.40,75.80,1.50,1.00,203.50,1.75,143.75,1.00
7,"NE","ATL","Brandin Cooks",14.87,"ATL",1,16.50,13.7,12.6,18.0,0,10.52,6.83,9,4,0.33,78.67,3.00,0.25,250.50,1.25,93.00,0.50
8,"NE","LAC","Brandin Cooks",15.10,"LAC",1,7.60,13.2,12.7,15.8,0,9.62,6.57,9,4,0.43,76.71,3.00,0.67,207.00,1.50,152.50,0.83
10,"DEN","NE","Brandin Cooks",14.16,"DEN",0,13.40,13.1,12.2,17.3,0,9.29,6.75,9,4,0.38,70.38,2.43,0.71,200.71,1.71,72.86,0.00
11,"OAK","NE","Brandin Cooks",14.08,"OAK",0,29.90,13.6,12.7,18.1,1,8.70,7.22,11,4,0.33,70.78,1.44,0.00,252.67,1.56,116.56,0.67
12,"NE","MIA","Brandin Cooks",15.66,"MIA",1,21.40,14.2,13.3,17.2,1,9.61,7.40,11,4,0.40,78.60,1.78,0.33,235.67,1.78,116.22,0.89
4,"MIA","NO","Brandon Coleman",9.87,"MIA",0,4.10,4.9,4.6,5.6,0,7.61,3.33,6,1,0.67,35.33,1.00,0.00,331.00,1.00,44.00,1.00
6,"NO","DET","Brandon Coleman",8.43,"DET",1,4.30,5.2,4.7,7.0,0,6.85,2.75,6,1,0.50,34.25,2.50,1.75,255.25,1.00,86.25,0.75
7,"GB","NO","Brandon Coleman",7.60,"GB",0,11.10,5.1,3.9,7.2,0,6.21,3.00,6,1,0.40,32.00,2.20,0.60,218.20,1.40,121.40,0.80
8,"NO","CHI","Brandon Coleman",8.18,"CHI",1,6.40,5.6,5.5,6.5,0,5.73,3.00,6,1,0.50,31.83,2.67,0.33,215.83,1.33,103.67,0.83
9,"NO","TB","Brandon Coleman",7.93,"TB",1,1.70,6.4,5.3,8.5,0,5.28,2.71,6,1,0.43,35.00,1.17,0.67,302.00,1.83,113.67,1.00
10,"BUF","NO","Brandon Coleman",7.15,"BUF",0,4.00,5.2,4.5,6.6,0,5.36,2.50,6,1,0.38,31.50,1.86,1.57,277.29,0.86,80.43,0.71
11,"NO","WAS","Brandon Coleman",6.80,"WAS",1,1.60,6.1,5.3,7.8,0,5.12,2.67,6,1,0.33,31.33,2.75,1.00,243.88,1.50,109.88,0.75
4,"CLE","CIN","Brandon LaFell",4.63,"CLE",0,3.70,8.2,7.3,11.2,0,2.83,4.67,7,2,0.00,19.67,1.50,1.00,240.00,2.00,85.50,0.50
5,"CIN","BUF","Brandon LaFell",4.40,"BUF",1,8.20,6.8,5.8,10.4,0,2.36,4.25,7,2,0.00,19.00,3.33,1.33,224.67,0.00,75.33,0.67
7,"PIT","CIN","Brandon LaFell",5.16,"PIT",0,12.80,7.6,6.4,11.3,0,2.66,5.00,8,2,0.00,21.60,3.40,1.00,164.00,0.60,136.20,1.20
8,"CIN","IND","Brandon LaFell",6.43,"IND",1,8.40,7.8,6.4,11.2,0,3.92,5.33,8,2,0.17,22.67,2.00,1.17,307.67,1.50,114.00,1.33
9,"JAC","CIN","Brandon LaFell",6.71,"JAC",0,4.80,6.5,4.8,10.8,0,3.66,5.29,8,2,0.14,25.71,4.71,1.43,190.57,0.57,138.57,0.71
10,"TEN","CIN","Brandon LaFell",6.48,"TEN",0,21.50,7.5,5.7,13.0,1,3.45,4.88,8,2,0.13,26.00,1.43,1.00,240.00,1.86,100.14,0.43
11,"DEN","CIN","Brandon LaFell",8.14,"DEN",0,6.70,7.7,5.1,11.3,0,5.96,5.44,10,2,0.22,33.67,2.38,0.63,204.88,2.00,88.38,0.38
12,"CIN","CLE","Brandon LaFell",8.00,"CLE",1,6.30,8.7,8.5,11.5,0,5.64,5.40,10,2,0.20,34.00,2.22,0.67,242.67,2.11,86.44,0.67
4,"TB","NYG","Brandon Marshall",6.43,"TB",0,10.60,8.4,6.8,12.6,0,7.08,6.67,11,4,0.00,31.00,1.00,2.00,301.00,1.00,20.00,0.00
5,"NYG","LAC","Brandon Marshall",7.48,"LAC",1,3.50,9.6,8.4,12.1,0,6.15,7.50,11,4,0.00,34.75,3.67,0.33,201.33,1.67,146.67,0.67
5,"CIN","BUF","Brandon Tate",0.00,"CIN",0,10.50,,,,0,0.00,0.00,0,0,0.00,0.00,3.33,0.67,186.33,1.33,129.67,0.67
7,"BUF","TB","Brandon Tate",3.50,"TB",1,0.00,5.3,5.0,6.0,0,6.06,1.33,4,0,0.33,8.33,1.00,0.75,315.25,1.75,87.25,0.50
8,"BUF","OAK","Brandon Tate",2.63,"OAK",1,3.40,,,,0,5.25,1.00,4,0,0.25,6.25,1.83,0.00,242.67,1.17,117.17,0.67
10,"BUF","NO","Brandon Tate",2.78,"NO",1,0.00,,,,0,4.56,1.00,4,0,0.20,9.80,2.71,1.29,243.14,1.29,120.29,0.71
11,"LAC","BUF","Brandon Tate",2.32,"LAC",0,1.70,,,,0,4.23,0.83,4,0,0.17,8.17,3.25,0.63,219.63,1.25,134.88,0.63
12,"KC","BUF","Brandon Tate",2.23,"KC",0,0.00,,,,0,3.87,1.43,5,0,0.14,8.00,2.11,0.89,270.44,1.78,131.11,1.00
6,"HOU","CLE","Braxton Miller",1.83,"CLE",1,7.50,,,,0,1.61,2.67,4,1,0.00,8.33,2.25,0.50,256.25,2.25,87.25,1.00
10,"LA","HOU","Braxton Miller",3.25,"LA",0,0.10,,,,0,3.12,2.50,4,1,0.25,5.00,3.29,1.29,223.57,1.14,123.14,1.14
11,"HOU","ARI","Braxton Miller",2.62,"ARI",1,3.40,4.4,3.5,6.4,0,3.05,2.00,4,0,0.20,4.00,2.13,1.00,263.63,1.75,100.25,0.88
12,"BAL","HOU","Braxton Miller",2.75,"BAL",0,9.30,,,,0,2.75,2.17,4,0,0.17,5.67,2.44,1.44,200.56,1.22,125.89,0.67
10,"CAR","MIA","Brenton Bersin",,"MIA",1,2.20,,,,0,,,,,,,2.14,0.29,223.86,1.57,95.43,0.57
12,"NYJ","CAR","Brenton Bersin",2.20,"NYJ",0,0.00,,,,0,,2.00,2,2,0.00,12.00,1.90,1.00,240.40,2.00,117.90,0.60
4,"BAL","PIT","Breshad Perriman",0.50,"PIT",1,1.60,5.6,4.4,9.5,0,0.87,3.00,4,1,0.00,1.67,4.50,0.50,194.50,0.50,74.00,1.00
5,"OAK","BAL","Breshad Perriman",0.78,"OAK",0,3.50,5.1,4.8,7.3,0,0.90,3.25,4,1,0.00,2.75,2.00,0.00,262.33,1.67,112.33,0.33
6,"BAL","CHI","Breshad Perriman",1.32,"CHI",1,0.00,4.6,3.7,7.8,0,1.44,3.20,4,1,0.00,5.20,2.25,0.00,234.75,1.75,84.50,1.00
8,"BAL","MIA","Breshad Perriman",1.10,"MIA",1,0.00,3.3,2.5,7.2,0,1.40,3.00,4,1,0.00,4.33,2.40,0.20,247.40,1.20,80.40,0.60
9,"TEN","BAL","Breshad Perriman",0.94,"TEN",0,5.80,3.8,2.7,8.1,0,1.34,2.86,4,1,0.00,3.71,1.43,1.00,240.00,1.86,100.14,0.43
12,"BAL","HOU","Breshad Perriman",1.55,"HOU",1,0.00,,,,0,2.12,3.38,7,1,0.00,6.75,2.56,0.89,269.89,2.11,96.89,0.33
9,"SEA","WAS","Brian Quick",2.10,"SEA",0,7.90,,,,0,,1.00,1,1,0.00,11.00,2.00,0.83,202.33,0.83,113.67,0.67
4,"DAL","LA","Brice Butler",7.93,"LA",1,9.20,4.3,3.9,5.3,0,7.87,2.33,3,2,0.33,46.00,3.00,1.00,179.00,0.50,152.00,1.50
5,"DAL","GB","Brice Butler",8.25,"GB",1,7.70,5.4,5.1,6.1,0,6.46,2.25,3,2,0.50,37.50,3.00,0.00,207.33,1.00,113.67,0.67
7,"SF","DAL","Brice Butler",8.14,"SF",0,0.00,4.8,4.0,6.0,0,5.60,2.20,3,2,0.40,41.40,2.60,0.60,264.40,1.40,116.60,0.80
8,"WAS","DAL","Brice Butler",6.78,"WAS",0,0.00,5.1,4.8,5.9,0,6.01,1.83,3,0,0.33,34.50,3.00,1.00,249.80,1.20,87.00,0.80
9,"DAL","KC","Brice Butler",5.81,"KC",1,1.60,4.3,3.8,5.0,0,6.06,1.71,3,0,0.29,29.57,2.14,0.71,283.86,1.86,124.57,0.86
10,"ATL","DAL","Brice Butler",5.29,"ATL",0,4.00,3.7,3.4,4.7,0,5.80,1.88,3,0,0.25,26.63,2.43,0.29,237.00,1.57,102.14,0.29
11,"DAL","PHI","Brice Butler",5.14,"PHI",1,3.90,4.1,3.4,5.5,0,5.44,1.78,3,0,0.22,27.00,2.78,1.22,268.00,1.56,66.44,0.44
12,"DAL","LAC","Brice Butler",5.02,"LAC",1,1.50,4.5,4.2,5.2,0,5.15,1.80,3,0,0.20,26.20,3.22,0.78,225.56,1.22,134.89,0.67
4,"ARI","SF","Brittan Golden",3.50,"SF",1,0.00,,,,0,0.57,2.50,3,2,0.00,25.00,1.50,0.50,184.50,1.50,123.50,0.00
5,"PHI","ARI","Brittan Golden",2.33,"PHI",0,0.00,,,,0,2.06,1.67,3,0,0.00,16.67,2.67,1.00,285.67,1.67,75.00,0.67
7,"LA","ARI","Brittan Golden",1.75,"LA",0,5.00,,,,0,2.05,1.25,3,0,0.00,12.50,3.00,1.20,228.00,1.40,133.60,1.40
11,"HOU","ARI","Brittan Golden",2.40,"HOU",0,0.00,,,,0,2.29,1.60,3,0,0.00,14.00,2.50,1.00,258.50,2.00,96.00,0.38
4,"HOU","TEN","Bruce Ellington",7.90,"TEN",1,8.70,3.5,1.8,6.1,0,11.17,4.50,7,2,0.50,29.50,2.00,1.00,242.50,1.50,104.00,0.50
